AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,75322,Lauren Wilkins,66,M,A2
2,90213,Julie Miller,79,M,A8
3,41823,Michael Oliver,20,M,A7
4,75678,Albert Singleton,24,M,A1
5,58374,Jason Gomez,74,M,A3
6,17509,Nicholas Sanchez,65,M,A5
7,86062,Jamie Gallegos,46,M,A7
8,87033,Anthony Hancock,47,F,A3
9,50709,Tanya Olson,53,M,A3
10,22244,Stacy Estrada,59,M,A6
11,28142,Gail Harrell,53,M,A6
12,23060,Samantha Butler,36,M,A8
13,45337,Rhonda Clayton,69,M,A5
14,15981,Joshua Barber,29,M,A6
15,22016,Wesley Norris,48,M,A1
16,64737,Jesse Knight,48,M,A8
17,3837,Robert Cruz,20,M,A6
18,68012,Paige Jackson,70,M,A9
19,12705,Rick Ellis,32,M,A6
20,67285,Robert Baird,62,M,A8
21,64393,Thomas Phillips,28,M,A2
22,29127,Ross Smith,77,M,A7
23,50764,Beth Lawrence,56,M,A4
24,40690,Kyle Haynes,76,M,A6
25,16148,Kristi Taylor,60,M,A2
26,76227,Martin Bennett,69,F,A3
27,56055,Lisa Benson,55,M,A5
28,46293,Loretta Smith,73,M,A7
29,87788,Ashley Hall,34,M,A3
30,36024,Alexandra Bishop,25,M,A3
31,69708,Lori White,44,M,A4
32,43685,Joseph Diaz,21,M,A5
33,14471,Jacqueline Perez,36,M,A1
34,34032,Jeffery Clayton,74,M,A8
35,86747,Tiffany Montoya,21,M,A7
36,39869,Joseph Dunlap,47,M,A5
37,4526,Alexander Brown,40,M,A2
38,70763,Karen Barron,71,M,A3
39,39754,Jamie Lang,67,M,A8
40,62789,Noah Morris,38,M,A4
41,83546,Jeremy Hendricks,41,M,A6
42,79569,Ellen Duke,29,M,A2
43,68571,Antonio Campbell,65,M,A6
44,14485,Ryan Baldwin,33,M,A5
45,96578,Joseph Ramsey,22,M,A3
46,61916,Kyle Hall,51,M,A5
47,13604,Erica Davidson,66,M,A1
48,65610,Daniel Hart,20,M,A1
49,38967,George Henderson,73,M,A7
50,17789,Jason Simmons,57,F,A4
51,26406,Francis Miller,23,M,A3
52,91599,Daniel Shepherd,60,M,A1
53,57505,Shannon Mahoney,60,M,A4
54,81561,Gregory Dunlap,19,M,A3
55,21638,Vincent Griffith,51,F,A9
56,5275,James Dickerson,41,M,A5
57,36652,Kelly Rodriguez,44,M,A9
58,51635,Alan Johnson,68,M,A9
59,90303,Joshua Levine,24,M,A6
60,20895,Joshua Porter,31,F,A1
61,48276,Joseph Reyes,75,M,A4
62,15244,Daniel Wells,46,M,A6
63,72388,Nancy Alvarez,47,M,A1
64,70952,Alexis Herring,30,M,A6
65,62796,John Christensen,61,M,A7
66,64693,Sarah Griffin,57,M,A9
67,30337,Joshua Hunt,78,M,A5
68,34547,Eric Ramos,26,F,A1
69,59418,Melissa Floyd,44,M,A8
70,94384,Danielle Butler,64,M,A3
71,74878,Vincent Montgomery,48,M,A3
72,39456,Denise Gregory,36,M,A6
73,35921,Roberta Anderson,65,M,A1
74,58977,Michele Cross,68,M,A4
75,55581,Denise Park,70,M,A1
76,93336,John Wise,20,F,A9
77,52973,Adam Webb,42,M,A8
78,14208,Sheri Miller,30,M,A3
79,51455,David Khan,53,F,A6
80,21486,Alejandro Weaver,69,F,A9
81,8697,Renee Bowers,43,M,A1
82,39211,Christopher Wheeler,67,F,A6
83,76905,Gerald Simmons,72,M,A6
84,12406,Kelly Simmons,61,M,A3
85,91759,Tammy Dominguez,24,F,A1
86,39246,Jane Mccormick,61,T,A6
87,67560,Charles Weaver,18,M,A3
88,53260,Angelica Ortiz,71,M,A9
89,95084,James Cooper,42,M,A3
90,85459,Chad Wilson,30,M,A7
91,14543,Sarah Thompson,28,M,A1
92,14583,Kyle Fuller,73,M,A8
93,22236,Gabrielle Taylor,36,F,A7
94,92322,Desiree Fleming,69,M,A6
95,56343,Cory Beck,20,M,A7
96,29902,Mark Flores,41,M,A6
97,28351,Gary Bridges,45,M,A2
98,97386,Chelsea Smith,52,M,A7
99,84076,Aaron Simmons,55,M,A5
100,55810,Krystal Anderson,29,M,A3
101,33646,William Medina,58,M,A8
102,46652,Jill Jackson,65,M,A2
103,85514,Bradley Bailey,63,F,A5
104,24069,Kathryn Cruz,14,M,A9
105,23999,Jimmy Hernandez,44,M,A7
106,60534,Leah Rodriguez,56,M,A4
107,59451,Larry Prince,64,M,A9
108,4832,Mary Torres,15,M,A4
109,46409,Vicki Williams,34,M,A6
110,71408,Karen Duran,52,M,A6
111,97492,Ricky Little,69,M,A5
112,2983,Diana Oconnell,29,M,A3
113,14396,Tina Ellis,16,M,A2
114,669,Randy Stanley,77,M,A5
115,95124,Tonya Adams,51,M,A6
116,44753,Megan Lynch,20,M,A3
117,73340,James Mcbride,78,M,A8
118,47573,Nicole Brown,74,M,A2
119,18932,Daniel James,58,M,A9
120,1240,Morgan Brown,57,M,A3
121,90147,Bill Blair,63,F,A6
122,94819,Steven Welch,37,M,A5
123,57315,Stacey Clements,45,M,A8
124,123,Jean Phillips,72,M,A7
125,71778,Shannon Barnes,74,M,A8
126,49927,Andrea Graham,39,M,A8
127,92979,Terri Lopez,59,M,A1
128,78886,Colleen Carr,34,F,A1
129,54994,Alyssa Townsend,56,M,A9
130,56108,Justin Martin,25,M,A3
131,40397,Rebecca Aguirre,66,F,A1
132,94511,Stephanie Clarke,17,M,A6
133,46124,Tiffany Pruitt,61,M,A3
134,28515,Kimberly Hunter,70,F,A9
135,67856,Paul Knox,66,M,A4
136,53152,Mary Banks,35,T,A2
137,73548,Donald Cruz,64,M,A3
138,10577,Kurt Gross,16,M,A7
139,57740,Aaron Evans,71,M,A2
140,63612,Kiara Santiago,42,M,A5
141,8848,Joshua Peterson,14,F,A6
142,38083,David Hendrix,27,M,A4
143,65693,Teresa Berg,56,M,A3
144,3636,Michelle Brown,59,M,A9
145,69985,Donald Hayes,56,M,A7
146,466,Linda Garza,71,M,A3
147,55745,Dana Greene,67,M,A9
148,82621,Kathryn Lane,57,F,A6
149,92414,David Sherman,17,M,A1
150,21517,Christian Erickson,44,M,A9
151,46935,Devin Douglas,24,M,A8
152,92105,Lisa Gomez,41,M,A5
153,26723,Brian Fitzgerald,40,M,A1
154,64964,Jeffrey Anderson,74,M,A8
155,51238,Amy Gonzalez,25,M,A2
156,72287,Heather Davis,70,M,A9
157,9145,Justin Garcia,28,M,A3
158,38167,Candice Walker,38,M,A1
159,7185,Terrance Wilson,77,T,A2
160,30239,Curtis Gilbert,68,M,A5
161,42105,Patrick Hunter,39,M,A1
162,18514,John Pearson,47,M,A2
163,32008,Joseph Hall,15,M,A5
164,28867,Amy Jones,66,F,A9
