accused_master_id,case_master_id,accused_name,age_year,gender_id,person_id
1,1,Dhriti Sanghvi,39,M,A1
2,1,Omisha Mann,31,M,A2
3,2,Rajata Rattan,32,M,A1
4,3,Warinder Chauhan,21,M,A1
5,4,Diya Dora,27,M,A1
6,4,Ekansh Singh,43,M,A2
7,5,Dakshesh Pillay,40,M,A1
8,6,Yachana Dora,65,M,A1
9,6,Shravya Chauhan,51,M,A2
10,7,Hamsini Ben,34,M,A1
11,7,Dominic Narayan,33,F,A2
12,7,Libni Mander,48,F,A3
13,7,Mason Nath,59,M,A4
14,8,Girik Sampath,70,M,A1
15,10,Noah Sarma,23,M,A1
16,11,Triya Manda,48,M,A1
17,11,Yadavi Wable,43,M,A2
18,12,Anjali Sengupta,52,M,A1
19,12,Rajeshri Chand,47,M,A2
20,13,Kavya Kapur,63,M,A1
21,13,Eiravati Chaudhary,45,M,A2
22,14,Anirudh Kunda,43,M,A1
23,14,Mason Wable,24,M,A2
24,15,Bishakha Sanghvi,30,M,A1
25,15,Ira Khosla,68,M,A2
26,15,Rachit Chada,59,M,A3
27,16,Lila Prakash,42,M,A1
28,17,Varenya Gopal,27,M,A1
29,17,Dev Shankar,53,M,A2
30,17,Chaaya Jaggi,63,M,A3
31,17,Ryan Barman,53,M,A4
32,18,Garima Mahajan,43,M,A1
33,18,Jhalak Sarkar,47,M,A2
34,19,Panini Brar,19,M,A1
35,19,Pranit Memon,62,M,A2
36,20,Radhika Maharaj,62,M,A1
37,20,Falan Ravi,58,M,A2
38,21,Ekalinga Keer,50,M,A1
39,22,Jeevika Rao,62,F,A1
40,24,Idika Bhattacharyya,33,M,A1
41,24,Charita Dugar,45,M,A2
42,25,Jyoti Sibal,43,F,A1
43,25,Gabriel Bhatti,70,M,A2
44,26,Unnati Varughese,28,M,A1
45,26,Kabir Gopal,61,M,A2
46,27,Umang Pal,52,F,A1
47,28,Mitesh Garg,49,M,A1
48,28,Benjamin Balakrishnan,59,M,A2
49,29,Sudiksha Bora,17,M,A1
50,29,Nakul Sarraf,23,M,A2
51,31,Amara Sengupta,55,M,A1
52,32,Yutika Sibal,49,M,A1
53,32,Darika Tank,52,M,A2
54,32,Gautam Ramaswamy,30,F,A3
55,34,Charan Hayer,23,F,A1
56,35,Harinakshi Pau,42,M,A1
57,36,Balvan Devan,58,M,A1
58,37,Chandani Soman,63,M,A1
59,37,Jyoti Narula,40,M,A2
60,37,Omaja Morar,33,M,A3
61,37,Urvi Lanka,24,M,A4
62,38,Omya Doshi,66,F,A1
63,39,Dipta Ghose,32,M,A1
64,40,Chameli Mani,70,M,A1
65,40,Vrinda Nadig,56,M,A2
66,41,Hemani Dhingra,32,M,A1
67,41,Brijesh Mani,62,M,A2
68,42,Wriddhish Kibe,50,M,A1
69,43,Nakul Ray,25,M,A1
70,43,Vansha Iyengar,46,F,A2
71,44,Balhaar Ranganathan,25,M,A1
72,45,Anjali Hans,26,M,A1
73,46,Nidra Sane,65,M,A1
74,47,Advika Rajagopal,38,M,A1
75,48,Jacob Merchant,26,M,A1
76,49,David Tiwari,40,M,A1
77,50,Christopher Setty,23,F,A1
78,50,Yochana Sagar,59,F,A2
79,51,Chakradev Sampath,46,F,A1
80,52,Saumya Purohit,67,M,A1
81,52,Faris Zacharia,17,M,A2
82,54,Ekalinga Chaudhuri,50,M,A1
83,54,Sanya Bava,54,M,A2
84,54,Chaitanya Ratti,63,M,A3
85,54,Vivaan Zacharia,52,M,A4
86,55,Timothy Sachdev,33,M,A1
87,55,Anvi Bhat,47,M,A2
88,56,Charita Puri,40,M,A1
89,57,Lipika Kibe,60,M,A1
90,57,Samar Narayanan,22,M,A2
91,58,Teerth Srinivas,59,M,A1
92,60,Yochana Tank,54,M,A1
93,61,Chakrika Dua,29,M,A1
94,62,Om Pandey,41,F,A1
95,62,Logan Suresh,64,M,A2
96,64,Vinaya Babu,34,M,A1
97,65,Manthan Khosla,26,M,A1
98,66,Girik Ravi,67,M,A1
99,67,Girish Wable,30,M,A1
100,67,Victor Kakar,30,M,A2
101,68,Mitali Bose,63,M,A1
102,69,Chatresh Chaudhari,39,M,A1
103,70,Ishani Prashad,45,M,A1
104,70,Quincy Rai,21,M,A2
105,71,Jalsa Chhabra,42,M,A1
106,72,Saumya Vala,34,M,A1
107,73,Advik Manne,69,M,A1
108,74,Waida Dhingra,36,M,A1
109,75,Warhi Hayre,50,M,A1
110,76,Ekani Iyer,30,M,A1
111,77,Maya Patla,20,M,A1
112,78,Wyatt Krishnan,55,M,A1
113,79,Ikbal Kothari,39,M,A1
114,80,Advaith Chaudhari,60,M,A1
115,81,Hemani Bakshi,63,M,A1
116,82,Raksha Sethi,64,F,A1
117,82,Ekalinga Mital,30,M,A2
118,83,Qarin Grewal,34,M,A1
119,84,Dev Chaudry,47,M,A1
120,85,Tanvi Gera,21,M,A1
121,85,Frado Desai,70,F,A2
122,85,Jacob Khare,21,M,A3
123,85,Jackson Goswami,64,M,A4
124,86,Ojas Suri,57,M,A1
125,87,Nilima Swamy,42,M,A1
126,88,Bhavya Ganguly,42,M,A1
127,89,Chameli Bali,30,M,A1
128,89,Adya Pall,36,M,A2
129,89,Reva Dalal,31,M,A3
130,90,Samuel Bhargava,31,M,A1
131,91,Krishna Sabharwal,53,M,A1
132,91,Aradhana Date,45,M,A2
133,92,Jyoti Sha,30,M,A1
134,92,Falak Agate,33,M,A2
135,93,Bhanumati Nazareth,69,F,A1
136,93,Vedhika Oza,57,M,A2
137,93,Chakradhar Chaudhary,53,M,A3
138,94,Nathan Mahal,41,F,A1
139,94,Jalsa Krishna,65,M,A2
140,94,Kamya Gandhi,45,F,A3
141,94,Meghana Mody,25,M,A4
142,95,Aditya Anand,58,M,A1
143,95,Jai Sami,25,M,A2
144,95,Vanya Bobal,43,M,A3
145,95,Leela Chakraborty,39,M,A4
146,97,Indali Sanghvi,24,M,A1
147,97,Logan Kota,19,M,A2
148,97,Frado Kothari,42,M,A3
149,98,Ekavir Wable,54,M,A1
150,98,Jalsa Nadig,37,M,A2
151,98,Lila Salvi,35,M,A3
152,99,Mitali Toor,49,M,A1
153,99,Yachana Sagar,28,F,A2
154,100,Nachiket Yadav,70,M,A1
155,101,Jack Setty,47,M,A1
156,102,Gautami Sanghvi,35,F,A1
157,102,Devansh Lall,26,M,A2
158,102,Watika Shah,24,M,A3
159,103,Yashodhara Agate,43,M,A1
160,103,Advik Konda,42,M,A2
161,105,Ekapad Shroff,59,M,A1
162,106,Ucchal Pillay,18,F,A1
163,106,Rohan Korpal,47,M,A2
164,107,Hemang Jha,39,M,A1
165,107,Oni Swamy,39,M,A2
166,107,Lucky Mammen,17,M,A3
167,107,Caleb Kata,54,M,A4
168,108,Radhika De,68,M,A1
169,108,Bishakha Lal,36,M,A2
170,109,Shivani Shukla,32,M,A1
171,110,Banjeet Kale,21,M,A1
172,110,Manbir Chand,24,F,A2
173,111,Azaan Ravel,18,F,A1
174,112,Rudra Rattan,34,M,A1
175,113,Garima Das,67,M,A1
176,113,Triya Bedi,29,F,A2
177,113,Rachita Rana,67,M,A3
178,113,Ayushman Raja,36,M,A4
179,114,Manthan Banerjee,45,M,A1
180,115,Leela Devan,27,M,A1
181,115,Ryan Vora,69,M,A2
182,116,Atharv Nagar,66,M,A1
183,116,Ayushman Mand,21,M,A2
184,117,Theodore Rama,30,M,A1
185,118,Baljiwan Chana,51,M,A1
186,119,Peter Naik,42,M,A1
187,120,Nakul Sarkar,67,M,A1
188,120,Edhitha Ghosh,49,F,A2
189,120,Udant Gill,42,M,A3
190,120,Damyanti Menon,59,M,A4
191,121,Idika Nagarajan,63,F,A1
192,122,Libni Sarma,42,M,A1
193,123,Chaitaly Bahri,52,M,A1
194,124,Nitesh Saraf,29,M,A1
195,125,Gopal Bawa,36,M,A1
196,126,Onkar Manne,51,M,A1
197,127,Kamala Raj,24,M,A1
198,127,Rachit Sehgal,16,M,A2
199,127,Adya Sarraf,16,F,A3
200,128,Chandani Brar,48,M,A1
201,129,Jonathan Basak,33,F,A1
202,131,Harrison Mangal,22,M,A1
203,131,Nirja Lalla,54,M,A2
204,132,Meghana Narula,20,M,A1
205,133,Guneet Kari,34,M,A1
206,134,Daksh Varma,39,M,A1
207,135,Dalbir Krish,28,M,A1
208,137,Bhavani Bala,51,M,A1
209,137,Chandran Gaba,62,M,A2
210,138,Zayyan Mody,17,M,A1
211,138,Pallavi Puri,20,F,A2
212,139,Barkha Misra,45,M,A1
213,139,Vasatika Bhatt,69,M,A2
214,140,Netra Nagarajan,59,M,A1
215,140,Atharv Tank,40,M,A2
216,142,Damyanti Salvi,40,M,A1
217,143,Xiti Dar,64,M,A1
218,143,Chanchal Sachdev,21,M,A2
219,144,Dhriti Bhardwaj,51,M,A1
220,145,Netra Sanghvi,62,M,A1
221,147,Bina Shah,67,M,A1
222,147,Radha Desai,25,M,A2
223,149,Aadhya Warrior,16,M,A1
224,149,Chanakya Chokshi,60,M,A2
225,149,Chanakya D’Alia,69,F,A3
226,150,Yasti Dalal,31,M,A1
227,151,Sarthak Srivastava,28,M,A1
228,151,Wahab Agate,23,M,A2
229,152,Owen Baral,68,M,A1
230,153,Girik Pradhan,44,M,A1
231,153,Qadim Comar,34,F,A2
232,154,Nathaniel Chawla,23,M,A1
233,155,Dipta Arora,57,M,A1
234,155,Hamsini Venkataraman,51,M,A2
235,156,Advay Dugar,40,M,A1
236,157,Yashica Kapoor,22,M,A1
237,158,Harshil Raval,27,M,A1
238,158,Balendra Acharya,38,M,A2
239,159,Urvashi Patla,63,M,A1
240,161,Hredhaan Kumar,16,M,A1
241,161,Raghav Dara,61,M,A2
242,162,Jatin Seshadri,55,M,A1
243,163,Kabir Chawla,33,F,A1
244,165,Shaurya Mannan,48,M,A1
245,167,Amara Dyal,65,M,A1
246,167,Zashil Dhingra,62,M,A2
247,167,Chakrika Jani,40,F,A3
248,168,Agastya Krishnamurthy,16,M,A1
249,168,Saanvi Kar,16,F,A2
250,169,Oscar Varkey,38,M,A1
251,169,Krishna Baria,37,M,A2
252,169,Arya Lalla,21,F,A3
253,169,Naveen Kumer,54,M,A4
254,170,Elijah Nadkarni,21,M,A1
255,171,Tanay Narula,54,F,A1
256,172,Barkha Bakshi,63,F,A1
257,173,Gopal Ganesh,46,M,A1
258,173,Dominic Kade,36,M,A2
259,173,Panini Chawla,35,M,A3
260,173,Radhika Bora,38,M,A4
261,174,Pranav Krishnamurthy,51,F,A1
262,174,Vedant Kuruvilla,67,M,A2
263,174,Lipika Seshadri,21,M,A3
264,175,Bimala Mitra,58,M,A1
265,175,Baghyawati Sarma,45,M,A2
266,175,Megha Balasubramanian,50,F,A3
267,177,Zayyan Hari,16,F,A1
268,178,Vidhi Narayanan,39,M,A1
269,179,Damini Dua,38,F,A1
270,179,Diya Sangha,45,M,A2
271,179,Aayush Munshi,68,M,A3
272,179,Timothy Sarin,66,M,A4
273,180,Parth Bumb,53,M,A1
274,180,Logan Yohannan,55,M,A2
275,181,Simon Bansal,42,M,A1
276,181,Urmi Dixit,56,M,A2
277,182,William Gandhi,45,M,A1
278,182,Sanaya Dutta,47,M,A2
