user_id,employee_id,username,email,hashed_password,role_id,is_active,created_at
1,,admin,admin@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,1,True,2026-01-01 00:00:00
2,69.0,officer069,officer069@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
3,249.0,officer249,officer249@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
4,9.0,officer009,officer009@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,3,True,2026-01-01 00:00:00
5,261.0,officer261,officer261@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
6,295.0,officer295,officer295@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,3,True,2026-01-01 00:00:00
7,182.0,officer182,officer182@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,3,True,2026-01-01 00:00:00
8,121.0,officer121,officer121@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
9,260.0,officer260,officer260@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
10,242.0,officer242,officer242@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,3,True,2026-01-01 00:00:00
11,12.0,officer012,officer012@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,3,True,2026-01-01 00:00:00
12,223.0,officer223,officer223@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
13,134.0,officer134,officer134@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
14,18.0,officer018,officer018@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,3,True,2026-01-01 00:00:00
15,40.0,officer040,officer040@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
16,106.0,officer106,officer106@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
17,253.0,officer253,officer253@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
18,138.0,officer138,officer138@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
19,284.0,officer284,officer284@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,4,True,2026-01-01 00:00:00
20,201.0,officer201,officer201@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
21,256.0,officer256,officer256@ksp-crime-ai.gov.in,CHANGE_ME_AT_SEED_TIME,2,True,2026-01-01 00:00:00
