citizen_id,first_name,last_name,gender,age,phone,email,address,city,district,demo_citizen_id
CID000001,Faris,Sengupta,Male,42,2178364703,zpradhan@example.org,"H.No. 04
Rout Zila",Amaravati,Bengaluru Rural,KSP00000001
CID000002,Vincent,Sahota,Female,49,4002387629,ikbalbanerjee@example.net,"70/39, Krishnan Chowk",Khammam,Bengaluru Urban,KSP00000002
CID000003,Aarnav,Tripathi,Female,65,1261807933,sethmanya@example.com,"70/59, Krishnamurthy Ganj",Thoothukudi,Belagavi,KSP00000003
CID000004,Rachit,Oak,Male,31,7359008578,rehaanbatra@example.net,"65/999
Palla Path",Bhiwani,Bengaluru Urban,KSP00000004
CID000005,Yatin,Jaggi,Female,32,8267471964,ansh18@example.net,"31/77, Dayal",Hosur,Tumakuru,KSP00000005
CID000006,Gagan,Sastry,Male,18,5559211997,rastogiradhika@example.net,"992, Nanda Street",Avadi,Belagavi,KSP00000006
CID000007,Krisha,Karan,Male,29,3646719230,qmital@example.com,"903
Sathe Circle",Mira-Bhayandar,Shivamogga,KSP00000007
CID000008,Azad,Manne,Female,60,3978547281,krishnanaik@example.org,"59/677
Boase Marg",Jamalpur,Bengaluru Rural,KSP00000008
CID000009,Onveer,Nori,Male,22,7984457563,meera36@example.com,"055
Bhat Ganj",Rampur,Ballari,KSP00000009
CID000010,Darika,Rau,Male,33,7765573693,jissac@example.net,"478, Kadakia",Barasat,Dharwad,KSP00000010
CID000011,Rajeshri,Karnik,Male,52,6304341742,nikitakannan@example.net,"H.No. 454
Kari Zila",Mira-Bhayandar,Belagavi,KSP00000011
CID000012,Atharv,Rastogi,Female,32,0909946933,cbarman@example.com,"H.No. 757
Mittal Chowk",Indore,Mysuru,KSP00000012
CID000013,Darsh,Bath,Male,51,1081517221,vanshajayaraman@example.com,"57/71
Sahni Path",Cuttack,Mysuru,KSP00000013
CID000014,Kai,Singhal,Male,49,4064423879,arya35@example.net,"988
Devi Ganj",Chennai,Bengaluru Urban,KSP00000014
CID000015,Veda,Mohan,Female,38,4060218550,dinarya@example.org,"H.No. 76, Jha Zila",Bijapur,Mangaluru,KSP00000015
CID000016,Adya,Bala,Female,69,8856578478,jatinpuri@example.com,"H.No. 40, Sarkar Chowk",Bihar Sharif,Bengaluru Rural,KSP00000016
CID000017,Zinal,Bal,Male,28,7307963390,chandranchaman@example.org,"H.No. 999, Sura Zila",Amroha,Bengaluru Urban,KSP00000017
CID000018,Dhriti,Dugar,Male,59,9187547193,osidhu@example.org,"H.No. 315, Chhabra Street",Gwalior,Bengaluru Urban,KSP00000018
CID000019,Lavanya,Peri,Male,24,1839700965,ria42@example.org,"912
Hegde Marg",Kollam,Mangaluru,KSP00000019
CID000020,Gopal,Sen,Male,35,8864635111,amolvasa@example.org,"755
Mangat Marg",Aizawl,Bengaluru Urban,KSP00000020
CID000021,Aryan,Brahmbhatt,Male,35,2625339036,gaurang81@example.net,"57/92
Bora Street",Karimnagar,Bengaluru Rural,KSP00000021
CID000022,Jairaj,Dada,Female,61,7801854590,sanyatrivedi@example.com,"090
Gola Path",Bijapur,Bengaluru Rural,KSP00000022
CID000023,Ekani,Kapoor,Female,28,2773080238,sethtejas@example.net,"16, Chaudhry Marg",Aurangabad,Mangaluru,KSP00000023
CID000024,Kevin,Trivedi,Female,30,2836131751,xtandon@example.org,"H.No. 04
Ravi Zila",Kavali,Belagavi,KSP00000024
CID000025,Yug,Mohanty,Female,53,5477765482,poojarana@example.com,"00/04, Uppal Chowk",Rewa,Bengaluru Rural,KSP00000025
CID000026,Upasna,Chawla,Male,48,4552149539,devom@example.org,"H.No. 839
Karnik Nagar",Nadiad,Mysuru,KSP00000026
