complainant_id,case_master_id,complainant_name,age_year,occupation_id,religion_id,caste_id,gender_id
1,1,Mekhala Basak,42,3,2,5,2
2,2,Triveni Pathak,30,10,5,3,1
3,2,Rajeshri Cherian,64,8,6,4,2
4,3,Gauri Ganguly,24,5,2,9,1
5,4,Faqid Goel,28,12,2,9,1
6,5,Yashica Borah,72,8,5,3,2
7,6,Turvi Barman,49,3,1,1,1
8,7,Yug Sarma,73,12,5,7,1
9,8,Kai Chad,62,6,7,2,2
10,9,Pranit Kala,45,11,1,2,1
11,10,Harrison Tripathi,51,10,1,3,2
12,11,Bhavani Sen,38,3,4,7,2
13,11,William More,52,11,2,8,1
14,12,Charles Srivastava,70,12,3,3,2
15,13,Chatresh Randhawa,20,7,1,8,2
16,14,Urmi Dewan,23,1,2,9,2
17,15,Jairaj Batta,63,4,3,7,1
18,16,Madhavi Singhal,27,1,5,4,2
19,17,Wridesh Chawla,67,10,2,3,1
20,18,Zehaan Bansal,63,3,7,2,2
21,19,Watika Tank,23,12,6,6,2
22,20,Damini Sehgal,75,8,6,1,2
23,20,Ojas Sawhney,59,3,5,7,1
24,21,Raksha Banerjee,34,8,4,5,1
25,22,Shivani Prabhakar,28,4,7,4,1
26,23,Quincy Tata,29,5,4,3,2
27,24,Ryan Das,50,3,1,5,2
28,25,Sai Dewan,67,11,1,8,1
29,26,Nimrat Borah,61,3,6,1,2
30,27,Zarna Dua,73,11,5,2,2
31,28,Anvi Dass,58,7,4,7,2
32,29,Omaja Balasubramanian,64,3,2,1,1
33,30,Maanas Munshi,20,9,4,4,2
34,31,Yutika Cherian,38,7,6,2,1
35,32,Leena Sahota,57,7,7,6,1
36,33,Chanakya Bedi,69,10,4,2,2
37,34,Aishani Pau,58,5,5,9,2
38,35,Ati Dani,60,10,5,6,2
39,36,Xiti Baria,54,11,6,7,2
40,37,Yutika Dey,21,1,6,5,1
41,37,Eiravati Gaba,57,8,7,4,2
42,38,Lajita Divan,66,10,5,8,1
43,39,David Devi,31,9,7,7,1
44,40,Veda Handa,23,5,7,8,2
45,41,Jairaj Raghavan,71,5,2,2,1
46,42,Tanish Jaggi,39,8,4,8,2
47,43,Odika Narayanan,23,7,3,9,1
48,44,Vincent Warrior,32,9,4,6,2
49,45,Chanchal Chhabra,51,7,5,1,2
50,45,Bhavani Sha,23,4,4,8,2
51,46,Quincy Atwal,44,6,7,1,2
52,47,Qasim Dey,41,10,3,7,1
53,48,Advay Lal,43,10,6,9,2
54,48,Warinder Bhatia,63,10,1,3,2
55,49,Michael Sha,50,5,3,2,2
56,50,Jackson Jha,65,11,2,8,1
57,51,Anthony Randhawa,38,12,1,1,1
58,52,Urmi Balay,72,10,1,7,1
59,53,Joshua Kapoor,74,8,7,6,2
60,54,Mohammed Majumdar,26,3,5,3,1
61,55,Vivaan Nagar,61,5,3,9,2
62,56,Hemangini Raj,71,1,1,4,2
63,57,Maanas Sheth,56,3,3,2,1
64,58,Charan Loyal,50,7,6,3,1
