employee_id,district_id,unit_id,rank_id,designation_id,kgid,first_name,employee_dob,gender_id,blood_group_id,physically_challenged,appointment_date
1,11,40,7,2,KGID000001,Anvi Konda,1989-04-19,2,6,False,2012-04-19
2,2,9,2,7,KGID000002,Gagan Sami,1975-02-23,1,5,False,2005-02-23
3,20,77,12,2,KGID000003,Tejas Kaul,1968-08-20,1,4,False,1993-08-20
4,3,11,7,5,KGID000004,Rushil Saini,1984-09-27,2,6,False,2007-09-27
5,12,46,12,2,KGID000005,Abeer Dutta,1975-01-19,1,4,False,2001-01-19
6,13,52,4,6,KGID000006,Arunima Dugal,1991-04-18,1,4,False,2021-04-18
7,11,43,2,4,KGID000007,Harsh Chanda,1974-11-16,2,4,False,2000-11-16
8,13,53,5,3,KGID000008,Hemangini Lalla,1980-06-22,1,5,False,2004-06-22
9,14,56,4,3,KGID000009,Jeet Radhakrishnan,1994-12-31,2,2,False,2021-12-28
10,4,15,11,7,KGID000010,Janaki Handa,1970-03-27,1,7,False,1994-03-27
11,15,60,1,2,KGID000011,Vedant Mann,1991-07-07,2,6,False,2021-07-07
12,14,55,1,5,KGID000012,Harrison Rai,2001-01-20,1,2,False,2024-01-20
13,10,37,6,3,KGID000013,Nicholas Prabhakar,1977-01-03,1,6,False,2001-01-03
14,4,16,4,1,KGID000014,Ekbal Garg,1979-08-21,1,2,False,2005-08-21
15,16,63,3,3,KGID000015,Nihal Shere,1985-09-19,2,3,False,2015-09-19
16,20,77,9,4,KGID000016,Ekta Bhalla,1980-06-16,2,7,False,2005-06-16
17,12,48,8,2,KGID000017,Diya Rattan,1975-05-06,1,4,False,2005-05-06
18,1,4,1,2,KGID000018,Divya Kala,1976-08-29,1,4,False,2001-08-28
19,2,9,9,4,KGID000019,Tara Dhar,1989-11-03,2,8,False,2012-11-03
20,5,21,4,8,KGID000020,Adya Sangha,1976-07-24,2,4,False,2005-07-24
21,14,56,7,8,KGID000021,Janaki Kanda,1998-01-31,1,2,False,2024-01-28
22,11,40,4,4,KGID000022,Yashodhara Tak,2001-06-19,2,3,False,2024-06-19
23,9,35,2,8,KGID000023,Imaran Dua,1970-08-25,1,1,False,1995-08-25
24,18,70,4,3,KGID000024,Devansh Rajan,1988-11-21,2,8,False,2011-11-21
25,13,50,7,1,KGID000025,Zayan Apte,1980-07-13,2,5,False,2004-07-13
