phone_id,citizen_id,phone_number,provider
PH000001,CID000001,9684645588,BSNL
PH000002,CID000001,9042531943,Airtel
PH000003,CID000002,9274947931,BSNL
PH000004,CID000003,9955029451,Airtel
PH000005,CID000004,9731239638,Vi
PH000006,CID000005,9097961789,Vi
PH000007,CID000006,9822758276,BSNL
PH000008,CID000007,9300931819,BSNL
PH000009,CID000008,9733062632,BSNL
PH000010,CID000008,9185180996,Jio
PH000011,CID000009,9730257539,Airtel
PH000012,CID000009,9095620826,Airtel
PH000013,CID000010,9085073564,BSNL
PH000014,CID000011,9642167760,Vi
PH000015,CID000012,9750405640,Jio
PH000016,CID000013,9058843624,BSNL
PH000017,CID000013,9607957934,BSNL
PH000018,CID000014,9224821208,Vi
PH000019,CID000015,9998853872,Vi
PH000020,CID000016,9439090451,Airtel
PH000021,CID000017,9029308469,Jio
PH000022,CID000018,9925134023,BSNL
PH000023,CID000018,9045946422,Vi
PH000024,CID000019,9898313293,BSNL
PH000025,CID000020,9692201357,BSNL
PH000026,CID000021,9184869804,Airtel
PH000027,CID000022,9627928055,Jio
PH000028,CID000023,9540517688,Jio
PH000029,CID000023,9578062097,Airtel
PH000030,CID000024,9747748172,Vi
PH000031,CID000025,9412020649,Jio
PH000032,CID000025,9182239481,Jio
PH000033,CID000026,9505020242,Airtel
PH000034,CID000027,9488304932,Airtel
PH000035,CID000028,9411182021,Vi
PH000036,CID000028,9910822223,Jio
PH000037,CID000029,9418018062,BSNL
PH000038,CID000030,9002919816,Airtel
PH000039,CID000031,9667239448,Vi
PH000040,CID000032,9919270183,BSNL
PH000041,CID000033,9539531878,Airtel
PH000042,CID000033,9457121360,Airtel
PH000043,CID000034,9840438464,Vi
PH000044,CID000035,9365877307,BSNL
PH000045,CID000036,9920755707,Jio
PH000046,CID000037,9781387660,Vi
PH000047,CID000038,9251682832,Airtel
PH000048,CID000039,9725510202,Jio
PH000049,CID000040,9555106232,Jio
PH000050,CID000041,9071153883,Airtel
PH000051,CID000041,9755659802,BSNL
PH000052,CID000042,9606194448,BSNL
PH000053,CID000042,9106145662,Vi
PH000054,CID000043,9043886714,Jio
PH000055,CID000044,9617228939,BSNL
PH000056,CID000045,9678834891,Vi
PH000057,CID000046,9063450262,Jio
PH000058,CID000047,9385787809,Vi
PH000059,CID000047,9650399089,Vi
PH000060,CID000048,9340658774,Jio
PH000061,CID000049,9525178798,BSNL
PH000062,CID000050,9757625035,BSNL
PH000063,CID000051,9345212879,Vi
PH000064,CID000052,9188455058,Vi
PH000065,CID000052,9292782315,Airtel
PH000066,CID000053,9590061957,Jio
PH000067,CID000054,9920733174,BSNL
PH000068,CID000055,9225913748,BSNL
PH000069,CID000056,9789848493,BSNL
PH000070,CID000057,9292352472,Vi
PH000071,CID000058,9171050977,BSNL
PH000072,CID000059,9978344668,Airtel
PH000073,CID000060,9143793550,Jio
PH000074,CID000061,9454513186,Vi
PH000075,CID000062,9996473041,Vi
PH000076,CID000063,9591776278,BSNL
PH000077,CID000064,9770317945,BSNL
PH000078,CID000065,9820590527,BSNL
PH000079,CID000066,9686215752,Vi
PH000080,CID000067,9465661742,Airtel
PH000081,CID000068,9450619353,Airtel
PH000082,CID000068,9066526006,Airtel
PH000083,CID000069,9409744508,BSNL
PH000084,CID000070,9206227216,Airtel
PH000085,CID000071,9143023942,BSNL
PH000086,CID000072,9194226457,Vi
PH000087,CID000073,9841814101,Jio
PH000088,CID000073,9284055665,Jio
PH000089,CID000074,9621815235,Jio
PH000090,CID000074,9209918066,BSNL
