search_id,entity_type,entity_value,case_id
SRCH000001,Vehicle,KA10AB8619,CASE006877
SRCH000002,Case,FIR2026000472,CASE000472
SRCH000003,Bank,235480976540,CASE007006
SRCH000004,Phone,9280021994,CASE005312
SRCH000005,Vehicle,KA68AB3785,CASE005735
SRCH000006,Case,CASE005967,CASE005967
SRCH000007,Case,CASE008738,CASE008738
SRCH000008,Case,FIR2026000562,CASE000562
SRCH000009,Bank,714461515914,CASE002906
SRCH000010,Citizen,CID007962,CASE005694
SRCH000011,Citizen,CID008681,CASE003207
SRCH000012,Case,CASE005066,CASE005066
SRCH000013,Citizen,CID002800,CASE002868
SRCH000014,Vehicle,KA40AB2635,CASE005494
SRCH000015,Case,CASE004948,CASE004948
SRCH000016,Citizen,CID002636,CASE001330
SRCH000017,Case,FIR2026001617,CASE001617
SRCH000018,Officer,OFF00013,CASE008599
SRCH000019,Case,CASE007285,CASE007285
SRCH000020,Bank,452450323237,CASE005747
SRCH000021,Case,CASE006687,CASE006687
SRCH000022,Bank,175992996350,CASE008757
SRCH000023,Case,CASE008502,CASE008502
SRCH000024,Citizen,CID004413,CASE001134
SRCH000025,Case,FIR2026006372,CASE006372
SRCH000026,Phone,9497722636,CASE004503
SRCH000027,Case,CASE005485,CASE005485
SRCH000028,Case,CASE009483,CASE009483
SRCH000029,Case,CASE007701,CASE007701
SRCH000030,Vehicle,KA28AB8065,CASE007009
SRCH000031,Case,FIR2026004475,CASE004475
SRCH000032,Citizen,CID009389,CASE004655
SRCH000033,Case,CASE009970,CASE009970
SRCH000034,Phone,9262082459,CASE001577
SRCH000035,Bank,490078847673,CASE001809
SRCH000036,Citizen,CID002144,CASE007888
SRCH000037,Citizen,CID002220,CASE009962
SRCH000038,Phone,9701088146,CASE006709
SRCH000039,Bank,842357486419,CASE007137
SRCH000040,Bank,122819849161,CASE001829
SRCH000041,Vehicle,KA43AB6990,CASE008624
SRCH000042,Case,CASE002505,CASE002505
SRCH000043,Citizen,CID000909,CASE007622
SRCH000044,Bank,210487010601,CASE004973
SRCH000045,Vehicle,KA42AB8119,CASE005141
SRCH000046,Phone,9996127547,CASE005480
SRCH000047,Citizen,CID003909,CASE008611
SRCH000048,Phone,9167697547,CASE007340
SRCH000049,Bank,592483321164,CASE008567
SRCH000050,Case,FIR2026008986,CASE008986
SRCH000051,Citizen,CID004352,CASE000583
SRCH000052,Case,CASE007536,CASE007536
SRCH000053,Phone,9730555083,CASE005533
SRCH000054,Phone,9777462135,CASE009833
SRCH000055,Bank,481514276262,CASE008005
SRCH000056,Bank,196375565135,CASE006934
SRCH000057,Case,FIR2026002620,CASE002620
SRCH000058,Case,FIR2026002486,CASE002486
SRCH000059,Case,FIR2026003552,CASE003552
SRCH000060,Bank,800191289773,CASE008016
SRCH000061,Case,FIR2026000916,CASE000916
