victim_master_id,case_master_id,victim_name,age_year,gender_id,victim_police
1,1,Anirudh Sharaf,36,F,False
2,3,Yashvi Comar,76,T,False
3,3,Ikshita Panchal,45,M,False
4,4,Ucchal Sen,60,M,False
5,5,Triya Seth,15,M,False
6,6,Raghav Nagy,37,M,False
7,7,Nathan Patla,73,F,False
8,7,Barkha Ram,77,T,False
9,8,Krisha Narasimhan,37,F,False
10,9,Vedika Handa,67,T,False
11,10,Gayathri Deep,79,T,False
12,10,Mitesh Gaba,28,M,False
13,11,Rishi Pillai,8,F,False
14,12,Harshil Varty,4,F,False
15,12,Bhavani Chacko,35,T,False
16,13,Warinder Raju,48,M,False
17,14,Saumya Ahluwalia,82,F,False
18,15,Oni Shankar,58,T,False
19,15,Indrajit Tata,32,M,False
20,15,Yutika Khurana,18,M,False
21,17,Kiaan Basu,29,T,False
22,17,Hamsini Gill,50,F,False
23,18,Bhavika Parikh,42,M,False
24,19,Zilmil Loke,45,F,False
25,20,Sanya Basak,25,F,False
26,22,Sachi Bose,81,M,False
27,23,Jacob Lala,61,F,False
28,24,Ethan Seth,26,M,False
29,24,Sai Chahal,59,M,False
30,25,Wakeeta Bal,40,T,False
31,26,Edhitha Borah,5,T,False
32,27,Nitesh Edwin,20,M,False
33,28,Girik Thakkar,48,M,False
34,29,Bimala Mittal,33,T,False
35,29,Yash Ravi,77,M,False
36,31,Wyatt Shukla,22,F,False
37,32,Nathaniel Narang,57,M,False
38,32,Ranveer Dutta,84,F,False
39,33,Warda Singhal,3,M,False
40,34,Jasmit Bath,53,M,False
41,35,Gunbir Ramesh,44,F,False
42,37,Chandani Nayar,23,T,False
43,38,Azad Choudhary,79,T,False
44,38,Anirudh Sastry,6,T,False
45,39,Ekta Sridhar,5,M,False
46,40,Arya Misra,29,M,False
47,42,Anita Devan,11,F,False
48,43,Harish Devan,23,T,False
49,44,Parth Sahni,30,M,False
50,45,Krish Thaman,75,M,False
51,46,Chakrika Hans,74,M,False
52,47,Ekiya Kothari,72,F,False
53,48,Udyati Mohanty,67,F,False
54,48,Nidra Thakkar,77,T,False
55,49,Ojasvi Sinha,73,F,False
56,49,Yug Bumb,44,F,False
57,49,Janaki Brahmbhatt,76,M,False
58,50,Gavin Uppal,32,T,False
59,51,Aarush Kamdar,34,M,False
60,52,Nilima Gole,61,T,False
61,52,Osha Prasad,43,F,False
62,53,Arin Misra,17,T,False
63,53,Panini Wali,33,T,False
64,54,Isaiah Balay,60,T,False
65,54,Amol Khosla,71,F,False
66,55,Warjas Mittal,38,M,False
67,56,Omaja Rege,13,T,False
68,57,Nitara Saha,81,M,False
69,58,Balveer Bora,85,T,False
70,59,Xavier Jayaraman,54,F,False
71,60,Darika Lal,65,F,False
72,61,Amol Lal,33,F,False
73,62,Vrinda Swaminathan,29,M,False
74,64,Kashvi Bhasin,85,T,False
75,65,Praneel Chhabra,68,F,False
76,66,Tripti Kohli,43,F,False
77,66,Charita Buch,27,T,False
78,67,Xalak Saraf,79,T,False
79,68,Amol Johal,6,M,False
80,69,Farhan Tella,16,M,False
81,70,Shravya Swaminathan,64,M,False
82,71,Mitesh Ramachandran,16,T,False
83,72,Gagan Grover,82,M,False
84,74,Amruta Mitra,62,T,False
85,75,Jalsa Krishnamurthy,2,T,False
86,76,Forum Sarraf,60,M,False
87,76,Qushi Deshpande,83,T,False
88,77,Eshana Puri,32,T,False
89,78,Bishakha Biswas,82,M,False
90,78,Xalak Dewan,85,M,False
91,79,Balhaar Parsa,61,M,False
92,81,Ubika Tella,74,M,False
93,82,Samuel Verma,15,M,False
94,82,Ijaya Soni,52,F,False
95,83,Nathaniel Narayanan,2,F,False
96,83,Turvi Kata,14,T,False
97,84,Tanish Jha,63,M,False
98,85,Ishaan Pall,52,M,False
99,86,Quincy Sur,30,M,False
100,87,Vedhika Deshpande,28,M,False
101,87,Leena Tiwari,43,M,False
102,88,Bachittar Maharaj,12,T,False
103,89,Benjamin Sastry,57,T,False
104,89,Pavani Chaudry,54,M,False
105,91,Amara Varkey,21,T,False
106,92,Amruta Sachdeva,31,T,False
107,92,Siya Borra,62,T,False
108,92,Neha Varma,75,T,False
109,94,Samaksh Deo,21,T,False
110,95,Kevin Kara,41,T,False
111,96,Luke Biswas,39,F,False
112,96,Nitesh Sarraf,60,M,False
113,97,Logan Dasgupta,8,M,False
114,98,Wriddhish Talwar,3,F,False
115,98,Isaiah Khosla,47,M,False
116,99,Tanveer Baral,9,M,False
117,100,Farhan Vaidya,57,M,False
118,101,Yash Chadha,19,F,False
119,102,Watika Palan,16,F,False
120,102,Ojas Prabhu,49,F,False
121,102,Amruta Dalal,5,M,False
122,103,Harshil D’Alia,69,F,False
123,104,Udarsh Nagy,52,M,False
124,104,Omaja Nagarajan,12,T,False
125,104,Faras Pradhan,13,T,False
126,106,Bishakha Modi,36,T,False
127,107,Aarav Puri,32,F,False
128,108,Meera Borde,65,M,False
129,109,Nachiket Cherian,22,M,False
130,110,Gautam Dugar,32,F,False
131,112,David Kapadia,19,M,False
132,113,Sachi Dave,58,F,False
133,116,Lipika Madan,84,M,False
134,117,Wridesh Lata,25,F,False
135,118,Lucky Guha,65,M,False
136,118,Dayamai Gill,44,F,False
137,119,Saksham De,18,M,False
138,120,Meghana Chaudhuri,85,T,False
139,120,Chasmum Naidu,74,M,False
140,121,Hemang Taneja,16,F,False
141,121,Garima Brahmbhatt,1,F,False
142,122,Ekansh Palla,75,F,False
143,122,Hritik Agarwal,57,T,False
144,123,Varenya Kar,63,M,False
145,123,Siya Borah,45,M,False
146,124,Falan Chander,65,M,False
147,124,Vasudha Balasubramanian,69,M,False
148,125,Baghyawati Mishra,39,F,False
149,126,Gunbir Bal,22,M,False
150,127,Gavin Ram,59,T,False
151,128,Hemangini Sachdev,47,M,False
152,128,Darsh Ram,78,M,True
153,128,Vaishnavi Keer,82,F,False
154,129,Oliver Kakar,67,M,False
155,130,Gagan Rama,80,F,False
156,130,Eshana Majumdar,81,F,False
157,131,Manbir Chaudhry,4,F,False
158,132,Maanas Ratti,26,M,False
159,133,Deepa Mand,10,F,False
160,134,Riya Kakar,9,M,False
161,134,Vedhika Varty,17,M,False
162,135,Oscar Hans,75,T,False
163,136,Yashasvi Ranganathan,66,T,False
164,136,Azaan Khurana,36,M,False
165,137,Nihal Kuruvilla,27,F,False
166,138,Oscar Anand,23,M,False
167,139,Harsh Amble,6,T,False
168,140,Zansi Khosla,6,F,False
169,141,Tristan Warrior,40,F,False
170,142,Urishilla Dave,51,F,False
171,142,Qadim Nayak,28,M,False
172,142,Tristan Pant,23,M,False
173,143,Ekavir Sodhi,79,M,False
174,144,Diya Gole,9,M,False
175,144,Vinaya Natarajan,19,M,False
176,145,Kai Saraf,11,F,False
177,146,Yuvraj Kara,32,M,False
178,146,Devika Dayal,47,T,False
179,149,Jeevika Barad,8,F,False
180,150,Harrison Venkatesh,71,F,False
181,150,Laksh Sahota,58,M,False
182,151,Ishita Rout,29,F,False
183,151,Naveen Baral,12,M,False
184,152,Harrison Kunda,74,F,False
185,152,Tanmayi Minhas,28,F,False
186,152,Ucchal Bedi,49,M,False
187,153,Lakshit Garde,75,M,False
188,153,Ishita Sarma,39,F,False
189,154,Isaiah Deo,57,F,False
190,155,Kalpit Subramanian,16,M,False
191,155,Isaiah Sabharwal,24,M,False
192,155,Chakradhar Bhatnagar,41,M,False
193,157,Ganga Mall,13,F,False
194,158,Wishi Sekhon,82,F,False
195,158,Jagat Tank,32,T,False
196,159,Udant Sha,55,T,False
197,163,Yashoda Goel,83,M,False
198,164,Hemal Menon,36,M,False
199,166,Omisha Walla,71,M,False
200,167,Chatresh Bhalla,3,T,False
201,168,Champak Raj,83,M,False
202,168,Omaja Munshi,11,F,False
203,170,Charvi Swaminathan,64,T,False
204,171,George Palla,14,T,False
205,172,Sanaya Khosla,67,F,False
206,172,Balveer Nagi,17,T,False
207,172,Ishaan Raju,80,M,False
