digital_evidence_id,case_id,file_type,file_name,phone_number,email,ip_address,uploaded_by,status,extracted_entities
DE000001,CASE008582,Bank Statement,sequi.txt,9685654420,rdeshpande@example.org,102.39.45.91,OFF00291,Verified,Phone: 9685654420; Email: rdeshpande@example.org; IP: 102.39.45.91; UPI: rdeshpande@paytm
DE000002,CASE009901,Laptop,quibusdam.csv,9695114845,dipta50@example.org,186.165.51.226,OFF00344,Collected,Phone: 9695114845; Email: dipta50@example.org; IP: 186.165.51.226
DE000003,CASE002553,Photo,minus.txt,9923084236,viswanathangaurangi@example.org,76.216.42.48,OFF00049,Pending Analysis,Phone: 9923084236; Email: viswanathangaurangi@example.org; IP: 76.216.42.48
DE000004,CASE004232,SIM Card,natus.js,9341026403,nachiket72@example.org,2.96.40.210,OFF00398,Collected,Phone: 9341026403; Email: nachiket72@example.org; IP: 2.96.40.210
DE000005,CASE004127,Email,nisi.doc,9163957203,vedhikachakraborty@example.org,35.44.56.173,OFF00020,Collected,Phone: 9163957203; Email: vedhikachakraborty@example.org; IP: 35.44.56.173
DE000006,CASE009416,Laptop,in.webm,9072866786,azad43@example.org,44.203.189.50,OFF00492,Verified,Phone: 9072866786; Email: azad43@example.org; IP: 44.203.189.50
DE000007,CASE006673,Mobile Phone,quia.jpg,9159208099,dsen@example.net,50.128.218.147,OFF00272,Pending Analysis,Phone: 9159208099; Email: dsen@example.net; IP: 50.128.218.147
DE000008,CASE003641,CCTV,beatae.mp3,9667262418,tanvidubey@example.com,78.87.86.14,OFF00263,Pending Analysis,Phone: 9667262418; Email: tanvidubey@example.com; IP: 78.87.86.14
DE000009,CASE002048,Laptop,itaque.txt,9188185680,rrao@example.net,143.210.174.142,OFF00304,Verified,Phone: 9188185680; Email: rrao@example.net; IP: 143.210.174.142
DE000010,CASE003702,Video,ad.js,9117321046,naksh75@example.com,97.96.191.184,OFF00043,Collected,Phone: 9117321046; Email: naksh75@example.com; IP: 97.96.191.184
DE000011,CASE004396,Bank Statement,laborum.mov,9326506964,kashyapojasvi@example.net,10.230.132.166,OFF00441,Collected,Phone: 9326506964; Email: kashyapojasvi@example.net; IP: 10.230.132.166; UPI: kashyapojasvi@okhdfcbank
DE000012,CASE000116,SIM Card,ad.mp3,9006381588,tanaypalla@example.net,176.52.253.37,OFF00116,Collected,Phone: 9006381588; Email: tanaypalla@example.net; IP: 176.52.253.37
DE000013,CASE001992,Laptop,dolores.xlsx,9232394858,lohitmutti@example.net,195.139.168.122,OFF00435,Verified,Phone: 9232394858; Email: lohitmutti@example.net; IP: 195.139.168.122
DE000014,CASE002878,Photo,veritatis.doc,9924415402,omajakari@example.com,29.111.6.83,OFF00471,Collected,Phone: 9924415402; Email: omajakari@example.com; IP: 29.111.6.83
DE000015,CASE005542,Bank Statement,nulla.bmp,9416886545,anikachada@example.net,12.57.99.245,OFF00238,Collected,Phone: 9416886545; Email: anikachada@example.net; IP: 12.57.99.245
DE000016,CASE008321,SIM Card,nulla.webm,9195783484,tejas11@example.org,113.113.194.196,OFF00395,Pending Analysis,Phone: 9195783484; Email: tejas11@example.org; IP: 113.113.194.196
DE000017,CASE003331,SIM Card,neque.flac,9828856155,damyanti40@example.org,192.247.198.247,OFF00495,Collected,Phone: 9828856155; Email: damyanti40@example.org; IP: 192.247.198.247
DE000018,CASE009650,WhatsApp Chat,quasi.mov,9498066022,omaja07@example.org,179.226.27.143,OFF00497,Pending Analysis,Phone: 9498066022; Email: omaja07@example.org; IP: 179.226.27.143
DE000019,CASE001796,CCTV,saepe.webm,9139556833,joshijagat@example.net,211.242.41.247,OFF00386,Verified,Phone: 9139556833; Email: joshijagat@example.net; IP: 211.242.41.247
DE000020,CASE005643,WhatsApp Chat,porro.json,9914591115,pavanicomar@example.org,207.2.111.206,OFF00216,Collected,Phone: 9914591115; Email: pavanicomar@example.org; IP: 207.2.111.206
DE000021,CASE000028,Mobile Phone,ipsam.tiff,9914479930,dparmar@example.net,113.164.84.93,OFF00230,Verified,Phone: 9914479930; Email: dparmar@example.net; IP: 113.164.84.93
DE000022,CASE005410,Email,commodi.pages,9511109046,vanshasunder@example.com,109.149.178.206,OFF00247,Pending Analysis,Phone: 9511109046; Email: vanshasunder@example.com; IP: 109.149.178.206
DE000023,CASE009336,Bank Statement,error.json,9728015727,tanvi73@example.com,182.115.198.38,OFF00078,Collected,Phone: 9728015727; Email: tanvi73@example.com; IP: 182.115.198.38; UPI: tanvi73@okhdfcbank
DE000024,CASE005477,SIM Card,veritatis.js,9355794070,ebansal@example.com,29.18.54.85,OFF00377,Verified,Phone: 9355794070; Email: ebansal@example.com; IP: 29.18.54.85
DE000025,CASE006041,Photo,assumenda.flac,9766840446,radhikapalla@example.org,42.135.100.76,OFF00045,Collected,Phone: 9766840446; Email: radhikapalla@example.org; IP: 42.135.100.76
DE000026,CASE008350,Laptop,dolore.tiff,9175497839,logan60@example.net,25.148.88.112,OFF00295,Pending Analysis,Phone: 9175497839; Email: logan60@example.net; IP: 25.148.88.112
DE000027,CASE009056,Photo,ex.pages,9414338486,isaac66@example.net,59.251.228.4,OFF00003,Verified,Phone: 9414338486; Email: isaac66@example.net; IP: 59.251.228.4
DE000028,CASE006259,Email,in.avi,9349439175,upadhyaychatura@example.net,187.2.93.18,OFF00320,Verified,Phone: 9349439175; Email: upadhyaychatura@example.net; IP: 187.2.93.18
DE000029,CASE007987,Video,ullam.flac,9284009482,cpau@example.com,19.93.90.29,OFF00237,Collected,Phone: 9284009482; Email: cpau@example.com; IP: 19.93.90.29
DE000030,CASE009324,Call Records,exercitationem.mp3,9990033558,shivanshzacharia@example.net,200.176.109.177,OFF00151,Verified,Phone: 9990033558; Email: shivanshzacharia@example.net; IP: 200.176.109.177
