account_id,citizen_id,bank_name,account_number,ifsc
ACC000001,CID000002,SBI,987548145159,SBIN701555
ACC000002,CID000003,SBI,152638785384,SBIN221606
ACC000003,CID000004,Canara Bank,514276245677,SBIN223748
ACC000004,CID000005,HDFC Bank,565119687743,SBIN268091
ACC000005,CID000006,HDFC Bank,181217496702,SBIN544918
ACC000006,CID000007,HDFC Bank,959875740928,SBIN870899
ACC000007,CID000008,Union Bank,654279739294,SBIN318349
ACC000008,CID000009,Union Bank,157333072526,SBIN868563
ACC000009,CID000010,Union Bank,704138101872,SBIN314139
ACC000010,CID000013,Axis Bank,818136681053,SBIN582202
ACC000011,CID000015,Canara Bank,507561493762,SBIN977489
ACC000012,CID000016,Bank of Baroda,270515474156,SBIN915758
ACC000013,CID000017,Bank of Baroda,808019721178,SBIN459398
ACC000014,CID000019,Axis Bank,432060668236,SBIN584438
ACC000015,CID000020,Axis Bank,869472874834,SBIN910193
ACC000016,CID000021,ICICI Bank,778764305730,SBIN826594
ACC000017,CID000022,SBI,193063133977,SBIN260874
ACC000018,CID000023,Bank of Baroda,983332001797,SBIN600812
ACC000019,CID000026,ICICI Bank,458695261136,SBIN864766
ACC000020,CID000027,Bank of Baroda,519494757321,SBIN141488
ACC000021,CID000028,Axis Bank,589178474917,SBIN109735
ACC000022,CID000029,SBI,318454639467,SBIN688289
ACC000023,CID000031,Axis Bank,197290041407,SBIN111928
ACC000024,CID000032,SBI,786142766967,SBIN446985
ACC000025,CID000035,SBI,421009152501,SBIN109752
ACC000026,CID000036,Axis Bank,511758759824,SBIN141516
ACC000027,CID000037,Canara Bank,358426772243,SBIN580590
ACC000028,CID000038,Union Bank,243521099473,SBIN971269
ACC000029,CID000039,HDFC Bank,714064081910,SBIN465129
ACC000030,CID000040,HDFC Bank,751871378650,SBIN249681
ACC000031,CID000042,SBI,218708501570,SBIN150193
ACC000032,CID000043,ICICI Bank,565719365288,SBIN232625
ACC000033,CID000045,ICICI Bank,511478657747,SBIN607887
ACC000034,CID000046,Canara Bank,729522275344,SBIN203196
ACC000035,CID000047,Bank of Baroda,791752997462,SBIN809843
ACC000036,CID000048,HDFC Bank,810122072340,SBIN114565
ACC000037,CID000049,Bank of Baroda,859630297683,SBIN667366
ACC000038,CID000050,Axis Bank,974184460244,SBIN955185
ACC000039,CID000052,ICICI Bank,122729832390,SBIN768529
ACC000040,CID000053,HDFC Bank,875426979327,SBIN822286
ACC000041,CID000054,SBI,351541854175,SBIN865474
ACC000042,CID000056,ICICI Bank,314269589824,SBIN707120
ACC000043,CID000057,Axis Bank,152651108404,SBIN196998
ACC000044,CID000058,HDFC Bank,756178991934,SBIN935403
ACC000045,CID000060,Axis Bank,178796008804,SBIN841065
ACC000046,CID000061,Bank of Baroda,700621237712,SBIN171735
