digital_evidence_id,case_id,file_type,file_name,phone_number,email,ip_address,uploaded_by,status
DE000001,CASE008582,Bank Statement,sequi.txt,9685654420,rdeshpande@example.org,102.39.45.91,OFF00291,Verified
DE000002,CASE009901,Laptop,quibusdam.csv,9695114845,dipta50@example.org,186.165.51.226,OFF00344,Collected
DE000003,CASE002553,Photo,minus.txt,9923084236,viswanathangaurangi@example.org,76.216.42.48,OFF00049,Pending Analysis
DE000004,CASE004232,SIM Card,natus.js,9341026403,nachiket72@example.org,2.96.40.210,OFF00398,Collected
DE000005,CASE004127,Email,nisi.doc,9163957203,vedhikachakraborty@example.org,35.44.56.173,OFF00020,Collected
DE000006,CASE009416,Laptop,in.webm,9072866786,azad43@example.org,44.203.189.50,OFF00492,Verified
DE000007,CASE006673,Mobile Phone,quia.jpg,9159208099,dsen@example.net,50.128.218.147,OFF00272,Pending Analysis
DE000008,CASE003641,CCTV,beatae.mp3,9667262418,tanvidubey@example.com,78.87.86.14,OFF00263,Pending Analysis
DE000009,CASE002048,Laptop,itaque.txt,9188185680,rrao@example.net,143.210.174.142,OFF00304,Verified
DE000010,CASE003702,Video,ad.js,9117321046,naksh75@example.com,97.96.191.184,OFF00043,Collected
DE000011,CASE004396,Bank Statement,laborum.mov,9326506964,kashyapojasvi@example.net,10.230.132.166,OFF00441,Collected
DE000012,CASE000116,SIM Card,ad.mp3,9006381588,tanaypalla@example.net,176.52.253.37,OFF00116,Collected
DE000013,CASE001992,Laptop,dolores.xlsx,9232394858,lohitmutti@example.net,195.139.168.122,OFF00435,Verified
DE000014,CASE002878,Photo,veritatis.doc,9924415402,omajakari@example.com,29.111.6.83,OFF00471,Collected
DE000015,CASE005542,Bank Statement,nulla.bmp,9416886545,anikachada@example.net,12.57.99.245,OFF00238,Collected
DE000016,CASE008321,SIM Card,nulla.webm,9195783484,tejas11@example.org,113.113.194.196,OFF00395,Pending Analysis
DE000017,CASE003331,SIM Card,neque.flac,9828856155,damyanti40@example.org,192.247.198.247,OFF00495,Collected
DE000018,CASE009650,WhatsApp Chat,quasi.mov,9498066022,omaja07@example.org,179.226.27.143,OFF00497,Pending Analysis
DE000019,CASE001796,CCTV,saepe.webm,9139556833,joshijagat@example.net,211.242.41.247,OFF00386,Verified
DE000020,CASE005643,WhatsApp Chat,porro.json,9914591115,pavanicomar@example.org,207.2.111.206,OFF00216,Collected
DE000021,CASE000028,Mobile Phone,ipsam.tiff,9914479930,dparmar@example.net,113.164.84.93,OFF00230,Verified
DE000022,CASE005410,Email,commodi.pages,9511109046,vanshasunder@example.com,109.149.178.206,OFF00247,Pending Analysis
DE000023,CASE009336,Bank Statement,error.json,9728015727,tanvi73@example.com,182.115.198.38,OFF00078,Collected
DE000024,CASE005477,SIM Card,veritatis.js,9355794070,ebansal@example.com,29.18.54.85,OFF00377,Verified
DE000025,CASE006041,Photo,assumenda.flac,9766840446,radhikapalla@example.org,42.135.100.76,OFF00045,Collected
DE000026,CASE008350,Laptop,dolore.tiff,9175497839,logan60@example.net,25.148.88.112,OFF00295,Pending Analysis
DE000027,CASE009056,Photo,ex.pages,9414338486,isaac66@example.net,59.251.228.4,OFF00003,Verified
DE000028,CASE006259,Email,in.avi,9349439175,upadhyaychatura@example.net,187.2.93.18,OFF00320,Verified
DE000029,CASE007987,Video,ullam.flac,9284009482,cpau@example.com,19.93.90.29,OFF00237,Collected
DE000030,CASE009324,Call Records,exercitationem.mp3,9990033558,shivanshzacharia@example.net,200.176.109.177,OFF00151,Verified
DE000031,CASE007159,Laptop,eum.html,9805201024,triyakumer@example.com,214.176.21.88,OFF00031,Verified
DE000032,CASE006021,Laptop,nulla.jpeg,9227386459,tvarty@example.com,103.93.88.36,OFF00430,Collected
DE000033,CASE003141,Photo,suscipit.tiff,9763066621,haritasinha@example.net,221.247.70.4,OFF00129,Pending Analysis
DE000034,CASE005201,Photo,rerum.png,9878708608,cvarkey@example.org,45.98.150.37,OFF00083,Verified
DE000035,CASE005421,Mobile Phone,ut.css,9629930045,bhavsarpushti@example.net,185.10.59.217,OFF00357,Pending Analysis
DE000036,CASE005184,SIM Card,quos.tiff,9603723185,faras84@example.com,161.218.11.95,OFF00449,Collected
DE000037,CASE000917,Photo,error.ppt,9774791864,jananigour@example.org,23.70.241.225,OFF00347,Pending Analysis
DE000038,CASE002289,CCTV,incidunt.wav,9353984958,ksule@example.org,15.19.210.73,OFF00364,Verified
DE000039,CASE002169,WhatsApp Chat,blanditiis.flac,9813171894,qjaggi@example.com,142.250.76.9,OFF00436,Pending Analysis
DE000040,CASE006588,Laptop,laborum.odt,9341055461,eshanakannan@example.org,123.166.98.181,OFF00166,Pending Analysis
DE000041,CASE009728,Photo,iure.webm,9290585921,usridhar@example.com,207.169.122.59,OFF00055,Collected
DE000042,CASE002742,CCTV,reiciendis.txt,9090893702,yug20@example.net,175.170.239.36,OFF00138,Collected
DE000043,CASE007326,Video,delectus.wav,9885014535,kallaoeshi@example.org,152.51.28.252,OFF00353,Verified
DE000044,CASE009439,Bank Statement,culpa.json,9913570760,xavieroza@example.com,90.103.238.244,OFF00035,Collected
DE000045,CASE002886,Photo,temporibus.bmp,9521223743,onazareth@example.org,162.176.52.60,OFF00191,Pending Analysis
DE000046,CASE007908,CCTV,placeat.css,9005788225,ethannatarajan@example.org,132.123.51.223,OFF00239,Collected
DE000047,CASE001571,Laptop,vel.docx,9970107350,mugdhachahal@example.net,14.109.28.151,OFF00091,Pending Analysis
DE000048,CASE005656,Video,possimus.txt,9110491700,vyanjana99@example.com,7.96.210.247,OFF00098,Pending Analysis
DE000049,CASE000241,Email,vitae.avi,9265519037,rajagopalliam@example.net,213.36.154.7,OFF00382,Verified
DE000050,CASE009879,WhatsApp Chat,voluptate.js,9328873512,qkade@example.org,221.125.223.83,OFF00154,Verified
DE000051,CASE008929,Bank Statement,culpa.gif,9521755919,vanya85@example.org,87.169.44.91,OFF00280,Pending Analysis
DE000052,CASE008186,WhatsApp Chat,dolor.xls,9233270995,zaitrakaran@example.org,176.21.14.24,OFF00026,Pending Analysis
DE000053,CASE009675,SIM Card,doloremque.key,9874574602,nitesh86@example.org,43.21.46.179,OFF00175,Pending Analysis
DE000054,CASE009041,WhatsApp Chat,sequi.flac,9521948891,dominic91@example.com,83.96.108.124,OFF00367,Verified
DE000055,CASE009806,Photo,dolor.css,9869848837,nbhatt@example.com,28.148.147.19,OFF00168,Pending Analysis
DE000056,CASE004154,Laptop,cumque.json,9780122903,ebadami@example.org,24.15.227.21,OFF00500,Verified
DE000057,CASE009396,Mobile Phone,voluptas.webm,9184071438,wdara@example.net,110.155.78.192,OFF00100,Verified
DE000058,CASE007638,SIM Card,temporibus.mp4,9555690001,indrajit81@example.org,185.27.31.149,OFF00295,Collected
DE000059,CASE007553,Video,tenetur.flac,9754912973,daksheshiyengar@example.net,83.86.163.126,OFF00126,Verified
DE000060,CASE001661,Photo,nobis.html,9795314548,kallasathvik@example.org,92.87.24.24,OFF00306,Verified
DE000061,CASE006810,Video,harum.xlsx,9995729821,reva03@example.net,79.148.186.236,OFF00467,Pending Analysis
DE000062,CASE006587,CCTV,amet.wav,9326638382,kabir05@example.net,140.177.66.134,OFF00456,Verified
DE000063,CASE009487,Mobile Phone,vero.wav,9629384170,aryan37@example.org,166.57.187.119,OFF00419,Pending Analysis
DE000064,CASE000302,Laptop,sapiente.html,9128997441,charitakumer@example.net,45.172.238.60,OFF00109,Collected
DE000065,CASE000508,CCTV,ut.flac,9277969395,pinglelajita@example.org,47.139.151.144,OFF00296,Pending Analysis
DE000066,CASE006581,Laptop,praesentium.webm,9386994073,sidhulakshmi@example.com,190.64.1.6,OFF00328,Verified
DE000067,CASE004847,CCTV,eum.txt,9590514443,pavanisanghvi@example.net,114.176.89.8,OFF00072,Pending Analysis
DE000068,CASE008286,WhatsApp Chat,expedita.mp3,9585317629,dbhatia@example.org,213.227.72.133,OFF00405,Collected
DE000069,CASE008653,Video,iure.odt,9069509329,bina81@example.org,79.126.249.84,OFF00012,Verified
DE000070,CASE009876,Laptop,ex.tiff,9829978021,anmolgolla@example.com,19.24.140.140,OFF00122,Verified
DE000071,CASE004541,CCTV,fugiat.odp,9258573492,nathanieldhar@example.net,14.37.30.231,OFF00251,Verified
DE000072,CASE001913,Mobile Phone,quos.odt,9682993722,xkhosla@example.net,27.215.84.231,OFF00467,Collected
DE000073,CASE000806,SIM Card,non.txt,9054350067,aarnav24@example.org,151.20.200.108,OFF00377,Verified
DE000074,CASE006192,Video,aliquam.jpeg,9463376401,forumverma@example.org,139.150.188.81,OFF00228,Collected
DE000075,CASE009925,WhatsApp Chat,eaque.doc,9006578917,tarak85@example.org,133.175.79.181,OFF00169,Pending Analysis
DE000076,CASE003647,CCTV,expedita.flac,9518005757,darshsaran@example.net,178.213.113.31,OFF00037,Pending Analysis
DE000077,CASE002789,Laptop,cupiditate.wav,9668281783,prishamishra@example.net,59.16.119.244,OFF00202,Verified
DE000078,CASE009322,WhatsApp Chat,quam.mp4,9772714401,rauharshil@example.net,14.144.64.133,OFF00460,Verified
DE000079,CASE007114,Laptop,beatae.mov,9249416245,lbanerjee@example.net,199.57.203.247,OFF00340,Collected
DE000080,CASE000464,Bank Statement,nisi.wav,9610740324,asodhi@example.org,151.68.66.182,OFF00358,Pending Analysis
DE000081,CASE009347,Laptop,provident.webm,9550598183,minhasikbal@example.org,27.230.60.17,OFF00255,Collected
DE000082,CASE003350,SIM Card,corporis.mov,9412972484,tatayasti@example.org,216.89.55.199,OFF00220,Collected
DE000083,CASE005262,CCTV,quaerat.mov,9712433746,varmarajeshri@example.net,160.247.22.205,OFF00142,Pending Analysis
DE000084,CASE009376,CCTV,veniam.avi,9615542674,asama@example.com,75.130.225.9,OFF00476,Pending Analysis
DE000085,CASE006803,Mobile Phone,unde.json,9052363263,veer32@example.org,59.26.120.117,OFF00077,Collected
DE000086,CASE009669,Mobile Phone,nihil.wav,9661777052,kondasaumya@example.net,83.82.8.206,OFF00217,Collected
DE000087,CASE003167,WhatsApp Chat,cum.mp3,9154275157,ayaanchaudhry@example.org,165.15.46.104,OFF00236,Pending Analysis
DE000088,CASE006565,Laptop,voluptates.avi,9231472903,atharv02@example.net,143.57.131.230,OFF00082,Pending Analysis
DE000089,CASE000999,Mobile Phone,impedit.csv,9595983283,pandra@example.org,108.157.154.76,OFF00348,Collected
DE000090,CASE007678,SIM Card,aliquid.xls,9673950335,dbir@example.org,222.8.183.144,OFF00201,Collected
DE000091,CASE002308,Mobile Phone,officiis.xlsx,9271271181,xwable@example.org,144.141.189.20,OFF00259,Collected
DE000092,CASE000669,Mobile Phone,sunt.css,9309716768,noah84@example.org,218.200.65.40,OFF00103,Pending Analysis
DE000093,CASE000792,CCTV,nostrum.png,9091818097,anirudhkunda@example.net,18.46.208.154,OFF00446,Verified
DE000094,CASE002709,SIM Card,distinctio.numbers,9709934273,rsheth@example.com,158.249.245.85,OFF00098,Verified
DE000095,CASE005720,Mobile Phone,recusandae.numbers,9671979701,narayannidra@example.org,163.201.190.72,OFF00207,Verified
DE000096,CASE007364,Laptop,delectus.mp3,9536784051,bordeyashica@example.net,94.94.117.229,OFF00321,Verified
DE000097,CASE002581,SIM Card,eveniet.avi,9799055284,pushti77@example.com,165.250.91.50,OFF00271,Pending Analysis
DE000098,CASE006980,WhatsApp Chat,iste.json,9746002516,nimrat60@example.com,55.190.140.98,OFF00310,Verified
DE000099,CASE002866,CCTV,quisquam.mov,9236694972,yashawinikhalsa@example.org,102.122.194.54,OFF00430,Pending Analysis
DE000100,CASE003970,Mobile Phone,maiores.odp,9154393350,jbasu@example.com,128.183.205.191,OFF00143,Pending Analysis
DE000101,CASE001427,Photo,error.wav,9984863114,nsarkar@example.net,41.94.42.133,OFF00426,Verified
DE000102,CASE000291,Call Records,quod.gif,9302244056,sanaya15@example.org,191.81.50.129,OFF00312,Collected
DE000103,CASE006320,Email,veritatis.html,9050760902,vyanjana34@example.net,105.217.229.161,OFF00099,Collected
DE000104,CASE006674,Laptop,iusto.odt,9860815757,mitali21@example.org,177.143.170.222,OFF00450,Verified
DE000105,CASE009873,SIM Card,soluta.csv,9916434793,sarmariya@example.net,121.179.180.64,OFF00157,Verified
DE000106,CASE009615,Mobile Phone,quibusdam.txt,9016442551,wmorar@example.net,123.179.67.253,OFF00248,Collected
DE000107,CASE001218,SIM Card,exercitationem.bmp,9152946484,wyadav@example.org,101.75.28.152,OFF00485,Collected
DE000108,CASE005522,CCTV,illo.js,9516101407,iyervansha@example.net,94.160.48.49,OFF00010,Collected
DE000109,CASE001032,WhatsApp Chat,fugiat.flac,9284333255,parmermichael@example.net,66.23.193.86,OFF00182,Collected
DE000110,CASE006646,Video,modi.webm,9839299308,chatreshsant@example.org,112.243.86.207,OFF00160,Verified
DE000111,CASE009308,WhatsApp Chat,voluptates.ods,9288957001,aptevivaan@example.com,98.222.245.248,OFF00499,Collected
DE000112,CASE007464,WhatsApp Chat,quod.bmp,9035032155,kiaansama@example.com,152.85.35.232,OFF00204,Verified
DE000113,CASE005526,SIM Card,voluptatibus.mp3,9822186302,riya14@example.com,218.95.15.251,OFF00373,Collected
DE000114,CASE005289,Bank Statement,eum.css,9176237986,pmani@example.net,211.208.173.113,OFF00121,Pending Analysis
DE000115,CASE004787,Photo,nostrum.mp4,9721591397,hemangmukhopadhyay@example.net,113.31.248.238,OFF00057,Verified
DE000116,CASE000326,Email,ipsam.mp3,9286009605,sanghvieiravati@example.org,69.83.163.70,OFF00055,Collected
DE000117,CASE001537,WhatsApp Chat,accusantium.flac,9982084686,hmemon@example.org,96.39.102.227,OFF00431,Pending Analysis
DE000118,CASE006033,WhatsApp Chat,assumenda.doc,9000664261,suhaniwason@example.com,159.217.159.64,OFF00312,Pending Analysis
DE000119,CASE003146,Mobile Phone,quos.docx,9402212579,parsaquincy@example.org,136.9.12.5,OFF00328,Pending Analysis
DE000120,CASE001412,Photo,earum.css,9017898776,gparmar@example.com,51.250.78.247,OFF00340,Verified
DE000121,CASE000701,Bank Statement,quo.webm,9624017285,wbabu@example.com,60.176.216.27,OFF00293,Verified
DE000122,CASE005387,SIM Card,illo.flac,9273176718,januja33@example.com,145.69.140.189,OFF00218,Verified
DE000123,CASE009928,CCTV,in.mov,9248370506,farisdhingra@example.net,102.130.78.241,OFF00019,Verified
DE000124,CASE007965,Call Records,atque.flac,9515962130,yashvi87@example.org,93.155.127.128,OFF00079,Pending Analysis
DE000125,CASE008748,SIM Card,voluptate.json,9658043893,kwagle@example.org,186.89.86.192,OFF00202,Pending Analysis
DE000126,CASE008981,WhatsApp Chat,iusto.webm,9220709949,ojaskapur@example.net,207.218.154.81,OFF00381,Verified
DE000127,CASE009175,Bank Statement,ipsum.css,9701042597,davebrijesh@example.com,182.240.85.204,OFF00307,Collected
DE000128,CASE004812,Photo,vero.wav,9135042126,arunimajayaraman@example.net,134.216.95.83,OFF00383,Verified
DE000129,CASE002100,Mobile Phone,quos.bmp,9430574618,eshankar@example.org,157.153.175.225,OFF00336,Verified
DE000130,CASE007654,Video,velit.wav,9639856748,fde@example.com,17.138.222.227,OFF00119,Pending Analysis
DE000131,CASE002645,Video,cum.css,9820655742,meghana89@example.com,103.56.227.99,OFF00477,Pending Analysis
DE000132,CASE009763,Laptop,dolor.pdf,9666154938,wpandey@example.org,87.199.112.152,OFF00022,Verified
DE000133,CASE006051,WhatsApp Chat,eaque.xls,9680355221,om43@example.com,223.241.154.137,OFF00005,Verified
