officer_id,name,rank,station_id,phone,email
OFF00001,Azaan Bassi,Inspector,ST0070,5959600485,officer1@ksp.gov.in
OFF00002,Tarak Behl,Inspector,ST0033,8235606630,officer2@ksp.gov.in
OFF00003,Wridesh Bhakta,Inspector,ST0016,5797411301,officer3@ksp.gov.in
OFF00004,Christopher Sekhon,ACP,ST0002,1077643964,officer4@ksp.gov.in
OFF00005,Sachi Bhatti,ACP,ST0018,9962146248,officer5@ksp.gov.in
OFF00006,Nakul Gour,ACP,ST0096,2051578369,officer6@ksp.gov.in
OFF00007,Aishani Bhattacharyya,ACP,ST0065,3194077518,officer7@ksp.gov.in
OFF00008,Lakshit Rege,Sub Inspector,ST0006,7769474573,officer8@ksp.gov.in
OFF00009,Harita Padmanabhan,ACP,ST0015,3847250597,officer9@ksp.gov.in
OFF00010,Hemal Bora,ACP,ST0037,2998864045,officer10@ksp.gov.in
OFF00011,Harish Gour,Constable,ST0079,0991203237,officer11@ksp.gov.in
OFF00012,Aarnav Dayal,Head Constable,ST0097,2987161098,officer12@ksp.gov.in
OFF00013,Aarav Palla,Head Constable,ST0008,9145867488,officer13@ksp.gov.in
OFF00014,Urishilla Golla,Constable,ST0058,7675508679,officer14@ksp.gov.in
OFF00015,Parth Nazareth,Constable,ST0018,1226823679,officer15@ksp.gov.in
OFF00016,Urvashi Divan,Head Constable,ST0034,1713438578,officer16@ksp.gov.in
OFF00017,Prisha Krishnamurthy,Inspector,ST0093,8886636053,officer17@ksp.gov.in
OFF00018,Anmol Chatterjee,ACP,ST0083,0240621225,officer18@ksp.gov.in
OFF00019,Kalpit Raman,ACP,ST0028,9170372963,officer19@ksp.gov.in
OFF00020,Jatin Sachdev,Head Constable,ST0008,2646355833,officer20@ksp.gov.in
OFF00021,Bakhshi Babu,Head Constable,ST0096,2511344311,officer21@ksp.gov.in
OFF00022,Viraj Mital,Constable,ST0015,6903454203,officer22@ksp.gov.in
OFF00023,Qushi Mohanty,ACP,ST0044,0706078779,officer23@ksp.gov.in
OFF00024,Januja Bhardwaj,ACP,ST0089,7152397571,officer24@ksp.gov.in
OFF00025,Anamika Kade,Sub Inspector,ST0010,2054833619,officer25@ksp.gov.in
OFF00026,Bishakha Vora,Head Constable,ST0041,5570404110,officer26@ksp.gov.in
OFF00027,Yachana Narasimhan,Constable,ST0059,9560824879,officer27@ksp.gov.in
OFF00028,Ekapad Shere,ACP,ST0062,7870556068,officer28@ksp.gov.in
OFF00029,Kavya Kata,ACP,ST0024,3688026763,officer29@ksp.gov.in
OFF00030,Raagini Ramaswamy,Constable,ST0018,8966831485,officer30@ksp.gov.in
OFF00031,Arunima Mahal,Sub Inspector,ST0026,4770919694,officer31@ksp.gov.in
OFF00032,Kalpit Radhakrishnan,ACP,ST0021,8888516191,officer32@ksp.gov.in
OFF00033,Watika Dugal,Constable,ST0005,0542917141,officer33@ksp.gov.in
OFF00034,Omya Wason,ACP,ST0064,9752045564,officer34@ksp.gov.in
OFF00035,Zaid Andra,Constable,ST0036,4654476216,officer35@ksp.gov.in
OFF00036,Saanvi Sheth,Inspector,ST0076,6290758822,officer36@ksp.gov.in
OFF00037,Yasti Goswami,ACP,ST0039,4747789430,officer37@ksp.gov.in
OFF00038,Varenya Devi,ACP,ST0023,6440000168,officer38@ksp.gov.in
OFF00039,Fariq Ahluwalia,Head Constable,ST0016,5369245901,officer39@ksp.gov.in
