search_id,entity_type,entity_value,case_id
SRCH000001,Citizen,CID002214,CASE001754
SRCH000002,Case,CASE000434,CASE003763
SRCH000003,Citizen,CID009218,CASE006359
SRCH000004,Phone,9765493385,CASE009724
SRCH000005,Phone,9678180514,CASE004060
SRCH000006,Phone,9472107535,CASE000937
SRCH000007,Case,CASE005928,CASE002476
SRCH000008,Bank,398860097682,CASE005066
SRCH000009,Vehicle,KA86AB2283,CASE005084
SRCH000010,Vehicle,KA35AB6524,CASE006239
SRCH000011,Citizen,CID000772,CASE004021
SRCH000012,Officer,OFF00013,CASE008115
SRCH000013,Phone,9204353754,CASE009973
SRCH000014,Officer,OFF00305,CASE005684
SRCH000015,Vehicle,KA04AB9332,CASE004927
SRCH000016,Bank,401228310258,CASE004746
SRCH000017,Phone,9306079872,CASE006805
SRCH000018,Case,CASE000371,CASE002326
SRCH000019,Vehicle,KA09AB9751,CASE004467
SRCH000020,Case,CASE009032,CASE007923
SRCH000021,Case,CASE001029,CASE001644
SRCH000022,Phone,9519367832,CASE001242
SRCH000023,Citizen,CID001130,CASE003879
SRCH000024,Citizen,CID005767,CASE004284
SRCH000025,Case,CASE007752,CASE002110
SRCH000026,Case,CASE007158,CASE002705
SRCH000027,Phone,9129461268,CASE007576
SRCH000028,Vehicle,KA29AB6438,CASE001327
SRCH000029,Officer,OFF00321,CASE005442
SRCH000030,Case,CASE002756,CASE006164
SRCH000031,Case,CASE000822,CASE001416
SRCH000032,Officer,OFF00267,CASE003910
SRCH000033,Bank,930404892857,CASE002091
SRCH000034,Officer,OFF00219,CASE004474
SRCH000035,Phone,9390383571,CASE004286
SRCH000036,Case,CASE006221,CASE000893
SRCH000037,Citizen,CID000396,CASE007713
SRCH000038,Case,CASE009118,CASE009611
SRCH000039,Phone,9788060269,CASE007610
SRCH000040,Phone,9783903455,CASE002505
SRCH000041,Bank,785930832893,CASE002577
SRCH000042,Citizen,CID002353,CASE008147
SRCH000043,Case,CASE007399,CASE000385
SRCH000044,Bank,662734806994,CASE009440
SRCH000045,Case,CASE004932,CASE005950
SRCH000046,Case,CASE007489,CASE009285
SRCH000047,Case,CASE002662,CASE003542
SRCH000048,Phone,9922339714,CASE008277
SRCH000049,Phone,9029528264,CASE000798
SRCH000050,Citizen,CID008608,CASE003309
SRCH000051,Phone,9619915168,CASE002631
SRCH000052,Citizen,CID005414,CASE008541
SRCH000053,Vehicle,KA72AB2908,CASE004060
SRCH000054,Citizen,CID007566,CASE008705
SRCH000055,Phone,9409320428,CASE003950
SRCH000056,Vehicle,KA78AB3966,CASE004665
SRCH000057,Officer,OFF00213,CASE001559
SRCH000058,Phone,9158046588,CASE005267
SRCH000059,Case,CASE007956,CASE001504
SRCH000060,Citizen,CID002296,CASE009547
SRCH000061,Phone,9768693005,CASE005640
SRCH000062,Citizen,CID009304,CASE002945
SRCH000063,Phone,9562865317,CASE002682
SRCH000064,Phone,9237571364,CASE008521
SRCH000065,Citizen,CID003916,CASE000639
SRCH000066,Vehicle,KA99AB8397,CASE007139
SRCH000067,Case,CASE005203,CASE008178
SRCH000068,Vehicle,KA63AB5070,CASE006106
SRCH000069,Bank,725391809542,CASE002247
SRCH000070,Phone,9948788327,CASE002314
SRCH000071,Vehicle,KA92AB2089,CASE001734
SRCH000072,Vehicle,KA81AB3345,CASE005605
SRCH000073,Citizen,CID001578,CASE009136
SRCH000074,Officer,OFF00151,CASE000114
SRCH000075,Vehicle,KA23AB2787,CASE001832
SRCH000076,Case,CASE000061,CASE001585
SRCH000077,Officer,OFF00025,CASE006735
SRCH000078,Officer,OFF00344,CASE008880
SRCH000079,Bank,644663345293,CASE005565
SRCH000080,Vehicle,KA66AB5080,CASE002937
SRCH000081,Case,CASE000827,CASE007456
SRCH000082,Citizen,CID009571,CASE002626
SRCH000083,Bank,777721930828,CASE000579
SRCH000084,Phone,9118199612,CASE009256
SRCH000085,Citizen,CID002696,CASE003030
SRCH000086,Phone,9437543166,CASE008655
SRCH000087,Vehicle,KA14AB5033,CASE000221
SRCH000088,Officer,OFF00165,CASE002673
SRCH000089,Officer,OFF00223,CASE005802
SRCH000090,Vehicle,KA27AB8696,CASE009117
SRCH000091,Citizen,CID004525,CASE005903
SRCH000092,Case,CASE008145,CASE004675
SRCH000093,Bank,247829022515,CASE001710
SRCH000094,Officer,OFF00215,CASE000108
SRCH000095,Vehicle,KA54AB5061,CASE008014
SRCH000096,Case,CASE009936,CASE007401
SRCH000097,Case,CASE001439,CASE001823
SRCH000098,Vehicle,KA21AB3856,CASE007604
SRCH000099,Phone,9396947180,CASE005073
SRCH000100,Vehicle,KA22AB7606,CASE005438
SRCH000101,Phone,9516421352,CASE007182
SRCH000102,Citizen,CID002915,CASE000488
SRCH000103,Bank,958830546137,CASE009746
SRCH000104,Phone,9905004287,CASE001623
SRCH000105,Phone,9064211835,CASE005958
SRCH000106,Phone,9574450214,CASE004275
SRCH000107,Phone,9672507927,CASE008185
SRCH000108,Citizen,CID004528,CASE001194
SRCH000109,Citizen,CID006362,CASE006310
SRCH000110,Citizen,CID006993,CASE001257
SRCH000111,Citizen,CID008686,CASE009901
SRCH000112,Phone,9167672719,CASE007715
SRCH000113,Vehicle,KA98AB9185,CASE000913
SRCH000114,Phone,9231038682,CASE004767
SRCH000115,Bank,137797337546,CASE006380
SRCH000116,Phone,9573312022,CASE008833
SRCH000117,Officer,OFF00456,CASE000947
SRCH000118,Citizen,CID002977,CASE001487
SRCH000119,Case,CASE007791,CASE005388
SRCH000120,Bank,318125095143,CASE006377
SRCH000121,Officer,OFF00332,CASE003990
SRCH000122,Officer,OFF00376,CASE007619
SRCH000123,Bank,119394700069,CASE009791
SRCH000124,Officer,OFF00256,CASE001657
SRCH000125,Bank,346677093617,CASE009491
SRCH000126,Bank,790123122057,CASE005182
SRCH000127,Vehicle,KA76AB5368,CASE006914
SRCH000128,Case,CASE004819,CASE004261
SRCH000129,Case,CASE007714,CASE000946
SRCH000130,Case,CASE002328,CASE005704
SRCH000131,Citizen,CID000448,CASE002759
SRCH000132,Bank,556862800044,CASE000613
SRCH000133,Vehicle,KA26AB7378,CASE001892
SRCH000134,Citizen,CID002759,CASE001491
SRCH000135,Phone,9396404740,CASE004790
SRCH000136,Citizen,CID004264,CASE004511
SRCH000137,Officer,OFF00278,CASE001012
SRCH000138,Vehicle,KA92AB2651,CASE007094
SRCH000139,Officer,OFF00051,CASE001701
SRCH000140,Officer,OFF00197,CASE006177
SRCH000141,Vehicle,KA56AB8955,CASE001515
SRCH000142,Case,CASE002888,CASE004933
SRCH000143,Bank,514568930388,CASE002329
SRCH000144,Case,CASE000202,CASE008252
SRCH000145,Bank,954264622271,CASE005889
SRCH000146,Phone,9663690124,CASE002687
SRCH000147,Phone,9053050826,CASE007238
SRCH000148,Phone,9294480752,CASE008953
SRCH000149,Bank,883916727583,CASE000793
SRCH000150,Vehicle,KA07AB6408,CASE000247
SRCH000151,Vehicle,KA11AB1994,CASE003858
SRCH000152,Vehicle,KA65AB7850,CASE005858
SRCH000153,Citizen,CID008623,CASE003283
SRCH000154,Bank,891231678528,CASE000007
SRCH000155,Vehicle,KA04AB4024,CASE002168
SRCH000156,Officer,OFF00331,CASE006514
SRCH000157,Case,CASE005906,CASE005344
